"Who plays John McClane in the 1988 film Die Hard?","Clint Eastwood","Mel Gibson","Tommy Lee Jones","Bruce Willis",4
"Who plays the fire chief in the 1974 film The Towering Inferno?","Dustin Hoffman","Paul Newman","Robert Redford","Steve McQueen",4
"In the 1994 film Speed, the bomb is set to explode when the bus's speed falls below what?","40 mph","50 mph","55 mph","60 mph",2
"In the 1975 film Jaws, Robert Shaw plays the professional shark hunter, Quint. What is the name of Quint's boat?","The Grampus","The Narwhal","The Nautilus","The Orca",4
"Who plays Gabe Walker, a climber who has lost his confidence, in the 1993 film Cliffhanger?","Michael Douglas","Clint Eastwood","Arnold Schwarzenegger","Sylester Stallone",4
"The action hero Indiana Jones has a pathological fear of what creatures?","Bats","Rats","Snakes","Spiders",3
"Who plays Snake Plissken in the 1981 film Escape From New York?","Michael Douglas","Chuck Norris","Kurt Russell","Steven Seagal",3
"What is the first name of the Sylvester Stallone character Rambo?","Jed","Jim","Joe","John",4
"In the 2006  Bond film Casino Royale, Bond is sent to  arrest a bombmaker on which island?","Borneo","Java","Madagascar","Mauritius",3
"The title character in the 2004 film Van Helsing is based on a character from which novel?","Dracula","Frankenstein","The Invisible Man","Dr Jekyll and Mr Hyde",1
"In the 1993 film Falling Down, Michael Douglas's character is trying to get home for what?","His daughter's birthday","His father's funeral","His wife's first dinner party","His son's school play",1
"In the 1974 film Mr Majestyk, Charles Bronson plays a farmer growing what?","Apples","Cherries","Melons","Peaches",3
"Who plays the sadistic railroad conductor in the 1973 film Emperor of the North Pole?","Ernest Borgnine","Gene Hackman","Lee Marvin","Jack Nicholson",1
"The action film star Jean-Claude Van Damme was born in which country?","Belgium","Canada","France","Switzerland",1
"In the film Die Hard, Bruce Willis's character is a New York cop, but the action takes place where?","Boston","Chicago","Los Angeles","Washington DC",3
"Who plays the crooked politician Walter Chalmers in the 1968 film Bullitt?","Dennis Hopper","Gene Hackman","Robert Vaughn","Robert Wagner",3
"In the 1971 film Dirty Harry, what rank is Clint Eastwood's character, Harry Callahan?","Sergeant","Lieutenant","Inspector","Captain",3
"Who directed the 2000 film Crouching Tiger, Hidden Dragon?","Ang Lee","Li Yang","Zhang Yang","Zhu Shilin",1
"Who plays the Nazi dentist in the 1974 film Marathon Man?","Richard Burton","Alec Guinness","Richard Harris","Laurence Olivier",4
"Who plays the disfigured scientist Peyton Westlake in the 1990 film Darkman?","Richard Gere","Ray Liotta","Liam Neeson","Patrick Swayze",3
"In the 1988 Bruce Willis film Die Hard, what is the name of the villain, played by Alan Rickman?","Hans Gerber","Hans Gruber","Heinz Gerber","Heinz Gruber",2
"Who plays Steve McQueen's girlfriend in the 1968 film Bullitt?","Jane Birkin","Jacqueline Bisset","Patty Duke","Faye Dunaway",2
"The 1968 film Ice Station Zebra is based on the novel of the same name by which author?","Tom Clancy","Clive Cussler","Alistair MacLean","Wilbur Smith",3
"Who plays the female lead in the 1962 John Wayne film Hatari!?","Ursula Andress","Claudia Cardinale","Gina Lollobrigida","Elsa Martinelli",4
"Which cinematic audio process was first used by Universal Studios in the 1974 film Earthquake?","Maxisound","Megasound","Sensurround","Ultrasound",3
"Who plays the witness Clint Eastwood has the job of escorting in the 1977 film The Gauntlet?","Anne Archer","Teri Garr","Sondra Locke","Charlotte Rampling",3
"Who plays the paroled ex-con Cameron Poe in the 1997 film Con Air?","Nicolas Cage","John Cusack","Gary Oldman","Kevin Spacey",1
